,Value,Std. Quantity (POUND),Std. Unit Rate ($/POUND),WTI Oil Value,Brent Oil Value,ship_count,popular_port_count,spikes,predicted_spikes
37,-0.36497610357636806,-0.17847708604274315,-0.3673824202051279,1.530383426609101,0.8916488319946413,0.8795034011727135,0.702548488577176,0.0,0.0
38,1.2916220192433143,10.22810993091105,1.3730917955166655,-0.04788954940409438,-0.7005062084103955,-0.9174334669914829,-0.9495665714274757,0.0,0.0
39,-0.36497610357636806,-0.17847708604274315,-0.3673824202051279,1.530383426609101,1.6877263521971597,0.8795034011727135,1.2532535085787266,0.0,0.0
40,-0.36497610357636806,-0.17847708604274315,-0.3673824202051279,-0.04788954940409438,-0.7005062084103955,-0.9174334669914829,-0.9495665714274757,0.0,0.0
41,-0.36497610357636806,-0.17847708604274315,-0.3673824202051279,-0.04788954940409438,-0.7005062084103955,-0.9174334669914829,-0.9495665714274757,1.0,1.0
42,-0.36497610357636806,-0.17847708604274315,-0.3673824202051279,1.530383426609101,1.6877263521971597,0.8795034011727135,0.702548488577176,0.0,0.0
43,-0.36497610357636806,-0.17847708604274315,-0.3673824202051279,-0.837026037410692,-0.7005062084103955,-0.9174334669914829,-0.9495665714274757,0.0,0.0
44,-0.36497610357636806,-0.17847708604274315,-0.3673824202051279,0.7412469386025033,0.8916488319946413,1.4784823572274457,1.2532535085787266,0.0,0.0
45,-0.36497610357636806,-0.17847708604274315,-0.3673824202051279,-0.04788954940409438,0.0955713117921229,0.8795034011727135,0.702548488577176,0.0,0.0
46,1.2916220192433143,-0.17847708604274315,-0.3673824202051279,-0.04788954940409438,0.0955713117921229,0.2805244451179814,0.702548488577176,0.0,0.0
47,-0.36497610357636806,-0.17847708604274315,3.1135660112384587,-1.6261625254172898,-1.496583728612914,-0.9174334669914829,-0.9495665714274757,0.0,0.0
48,1.2916220192433143,-0.17847708604274315,-0.3673824202051279,-0.04788954940409438,0.0955713117921229,1.4784823572274457,1.2532535085787266,0.0,0.0
49,-0.36497610357636806,-0.17847708604274315,-0.3673824202051279,-0.837026037410692,-0.7005062084103955,-0.9174334669914829,-0.9495665714274757,0.0,0.0
50,-0.36497610357636806,-0.17847708604274315,1.3730917955166655,-0.837026037410692,-0.7005062084103955,-0.9174334669914829,-0.9495665714274757,0.0,0.0
51,-0.36497610357636806,-0.17847708604274315,-0.3673824202051279,0.7412469386025033,0.8916488319946413,0.2805244451179814,1.2532535085787266,0.0,0.0
52,-0.36497610357636806,-0.17847708604274315,-0.3673824202051279,1.530383426609101,1.6877263521971597,0.8795034011727135,1.2532535085787266,0.0,0.0
53,-0.36497610357636806,-0.17847708604274315,-0.3673824202051279,-1.6261625254172898,-1.496583728612914,-0.9174334669914829,-0.9495665714274757,0.0,0.0
